Date,Facility,Total Operations
01/01/2019,ABE,45
01/01/2019,ABI,24
01/01/2019,ABQ,154
01/01/2019,ABY,24
01/01/2019,ACK,55
01/01/2019,ACT,28
01/01/2019,ACY,101
01/01/2019,ADM,5
01/01/2019,ADQ,13
01/01/2019,ADS,84
01/01/2019,ADW,30
01/01/2019,AEG,0
01/01/2019,AEX,42
01/01/2019,AFW,56
01/01/2019,AGC,53
01/01/2019,AGS,46
01/01/2019,AHN,36
01/01/2019,AKN,0
01/01/2019,ALB,105
01/01/2019,ALN,35
01/01/2019,ALO,8
01/01/2019,ALW,120
01/01/2019,AMA,42
01/01/2019,ANC,248
01/01/2019,ANE,90
01/01/2019,APA,372
01/01/2019,APC,84
01/01/2019,APF,237
01/01/2019,ARA,62
01/01/2019,ARB,39
01/01/2019,ARR,14
01/01/2019,ASE,208
01/01/2019,ASG,5
01/01/2019,ASH,6
01/01/2019,ATL,1894
01/01/2019,ATW,71
01/01/2019,AUS,380
01/01/2019,AVL,126
01/01/2019,AVP,48
01/01/2019,AZO,47
01/01/2019,BAF,0
01/01/2019,BAK,26
01/01/2019,BAZ,171
01/01/2019,BBG,4
01/01/2019,BCT,165
01/01/2019,BDL,184
01/01/2019,BDR,12
01/01/2019,BED,138
01/01/2019,BET,11
01/01/2019,BFI,369
01/01/2019,BFL,82
01/01/2019,BFM,6
01/01/2019,BGM,7
01/01/2019,BGR,28
01/01/2019,BHM,178
01/01/2019,BIL,71
01/01/2019,BIS,32
01/01/2019,BJC,167
01/01/2019,BKL,24
01/01/2019,BKV,161
01/01/2019,BLI,145
01/01/2019,BMG,21
01/01/2019,BMI,14
01/01/2019,BNA,460
01/01/2019,BOI,229
01/01/2019,BOS,920
01/01/2019,BPT,45
01/01/2019,BQN,13
01/01/2019,BRO,23
01/01/2019,BTL,4
01/01/2019,BTR,72
01/01/2019,BTV,77
01/01/2019,BUF,153
01/01/2019,BUR,318
01/01/2019,BVY,9
01/01/2019,BWI,654
01/01/2019,BZN,155
01/01/2019,CAE,70
01/01/2019,CAK,63
01/01/2019,CCR,155
01/01/2019,CDW,27
01/01/2019,CGF,17
01/01/2019,CHA,86
01/01/2019,CHD,101
01/01/2019,CHO,264
01/01/2019,CHS,209
01/01/2019,CIC,34
01/01/2019,CID,77
01/01/2019,CKB,10
01/01/2019,CLE,262
01/01/2019,CLL,32
01/01/2019,CLT,1437
01/01/2019,CMA,68
01/01/2019,CMH,253
01/01/2019,CMI,19
01/01/2019,CNO,40
01/01/2019,CNW,0
01/01/2019,COS,89
01/01/2019,COU,24
01/01/2019,CPR,23
01/01/2019,CPS,25
01/01/2019,CRE,10
01/01/2019,CRG,210
01/01/2019,CRP,49
01/01/2019,CRQ,133
01/01/2019,CRW,49
01/01/2019,CSG,19
01/01/2019,CVG,244
01/01/2019,CWA,14
01/01/2019,CWF,4
01/01/2019,CXO,148
01/01/2019,CXY,40
01/01/2019,CYS,5
01/01/2019,DAB,93
01/01/2019,DAL,557
01/01/2019,DAY,85
01/01/2019,DBQ,10
01/01/2019,DCA,621
01/01/2019,DEN,1504
01/01/2019,DET,11
01/01/2019,DFW,1687
01/01/2019,DHN,22
01/01/2019,DLH,143
01/01/2019,DPA,31
01/01/2019,DSM,110
01/01/2019,DTN,45
01/01/2019,DTO,196
01/01/2019,DTS,11
01/01/2019,DTW,761
01/01/2019,DVT,501
01/01/2019,DWH,252
01/01/2019,DXR,15
01/01/2019,EAU,41
01/01/2019,ECP,84
01/01/2019,EGE,222
01/01/2019,ELM,14
01/01/2019,ELP,167
01/01/2019,EMT,114
01/01/2019,ENA,50
01/01/2019,ENW,27
01/01/2019,ERI,29
01/01/2019,ESN,59
01/01/2019,EUG,75
01/01/2019,EVB,309
01/01/2019,EVV,36
01/01/2019,EWB,8
01/01/2019,EWN,105
01/01/2019,EWR,1097
01/01/2019,EYW,191
01/01/2019,FAI,118
01/01/2019,FAR,69
01/01/2019,FAT,164
01/01/2019,FAY,34
01/01/2019,FCM,103
01/01/2019,FDK,31
01/01/2019,FFZ,121
01/01/2019,FIN,45
01/01/2019,FLG,63
01/01/2019,FLL,1033
01/01/2019,FLO,14
01/01/2019,FMN,12
01/01/2019,FMY,136
01/01/2019,FNT,36
01/01/2019,FOE,2
01/01/2019,FOK,27
01/01/2019,FPR,136
01/01/2019,FRG,192
01/01/2019,FSD,128
01/01/2019,FSM,26
01/01/2019,FTG,31
01/01/2019,FTW,120
01/01/2019,FTY,52
01/01/2019,FUL,56
01/01/2019,FWA,51
01/01/2019,FWS,20
01/01/2019,FXE,238
01/01/2019,FYV,5
01/01/2019,GCK,7
01/01/2019,GCN,193
01/01/2019,GEG,118
01/01/2019,GEU,49
01/01/2019,GFK,14
01/01/2019,GGG,23
01/01/2019,GJT,60
01/01/2019,GKY,32
01/01/2019,GLH,2
01/01/2019,GLS,65
01/01/2019,GMU,94
01/01/2019,GNV,135
01/01/2019,GON,17
01/01/2019,GPI,41
01/01/2019,GPM,62
01/01/2019,GPT,31
01/01/2019,GRB,92
01/01/2019,GRI,11
01/01/2019,GRR,103
01/01/2019,GSN,341
01/01/2019,GSO,162
01/01/2019,GSP,82
01/01/2019,GTF,27
01/01/2019,GTR,10
01/01/2019,GTU,58
01/01/2019,GUM,232
01/01/2019,GYH,38
01/01/2019,GYI,8
01/01/2019,GYR,139
01/01/2019,GYY,10
01/01/2019,HEF,101
01/01/2019,HFD,3
01/01/2019,HGR,29
01/01/2019,HHR,49
01/01/2019,HIO,437
01/01/2019,HKS,83
01/01/2019,HKY,37
01/01/2019,HLG,6
01/01/2019,HLN,43
01/01/2019,HND,167
01/01/2019,HNL,814
01/01/2019,HOB,3
01/01/2019,HOU,473
01/01/2019,HPN,303
01/01/2019,HQZ,4
01/01/2019,HRL,91
01/01/2019,HSA,13
01/01/2019,HSV,85
01/01/2019,HTS,15
01/01/2019,HUF,2
01/01/2019,HUM,86
01/01/2019,HUT,39
01/01/2019,HVN,13
01/01/2019,HWD,133
01/01/2019,HWO,189
01/01/2019,HXD,54
01/01/2019,HYA,76
01/01/2019,HYI,38
01/01/2019,IAD,727
01/01/2019,IAG,23
01/01/2019,IAH,1222
01/01/2019,ICT,113
01/01/2019,IDA,49
01/01/2019,IFP,9
01/01/2019,ILG,20
01/01/2019,ILM,154
01/01/2019,IND,308
01/01/2019,INT,65
01/01/2019,IPT,10
01/01/2019,ISM,145
01/01/2019,ISO,23
01/01/2019,ISP,71
01/01/2019,ITH,11
01/01/2019,ITO,281
01/01/2019,IWA,143
01/01/2019,IXD,7
01/01/2019,JAC,112
01/01/2019,JAN,62
01/01/2019,JAX,238
01/01/2019,JEF,2
01/01/2019,JFK,1148
01/01/2019,JLN,15
01/01/2019,JNU,16
01/01/2019,JQF,158
01/01/2019,JRF,209
01/01/2019,JVL,24
01/01/2019,JXN,1
01/01/2019,KOA,315
01/01/2019,LAF,3
01/01/2019,LAL,128
01/01/2019,LAN,27
01/01/2019,LAS,1546
01/01/2019,LAW,7
01/01/2019,LAX,1866
01/01/2019,LBB,74
01/01/2019,LBE,12
01/01/2019,LCH,67
01/01/2019,LEB,24
01/01/2019,LEE,117
01/01/2019,LEX,122
01/01/2019,LFT,59
01/01/2019,LGA,676
01/01/2019,LGB,284
01/01/2019,LIH,321
01/01/2019,LIT,108
01/01/2019,LMT,116
01/01/2019,LNK,42
01/01/2019,LNS,33
01/01/2019,LOU,137
01/01/2019,LRD,74
01/01/2019,LSE,46
01/01/2019,LUK,41
01/01/2019,LVK,238
01/01/2019,LWB,34
01/01/2019,LWM,17
01/01/2019,LWS,35
01/01/2019,LYH,57
01/01/2019,LZU,140
01/01/2019,MAF,80
01/01/2019,MBS,16
01/01/2019,MCI,281
01/01/2019,MCN,6
01/01/2019,MCO,1036
01/01/2019,MDH,2
01/01/2019,MDT,63
01/01/2019,MDW,535
01/01/2019,MEI,39
01/01/2019,MEM,209
01/01/2019,MER,66
01/01/2019,MFD,9
01/01/2019,MFE,64
01/01/2019,MFR,84
01/01/2019,MGM,46
01/01/2019,MGW,56
01/01/2019,MHK,54
01/01/2019,MHR,85
01/01/2019,MHT,65
01/01/2019,MIA,1135
01/01/2019,MIC,75
01/01/2019,MIE,1
01/01/2019,MKC,82
01/01/2019,MKE,211
01/01/2019,MKG,10
01/01/2019,MKK,51
01/01/2019,MKL,19
01/01/2019,MLB,68
01/01/2019,MLI,34
01/01/2019,MLU,43
01/01/2019,MMU,76
01/01/2019,MOB,34
01/01/2019,MOD,111
01/01/2019,MOT,15
01/01/2019,MQY,115
01/01/2019,MRI,51
