Date,Facility,Total Operations
01/01/2019,MRY,152
01/01/2019,MSN,111
01/01/2019,MSO,37
01/01/2019,MSP,793
01/01/2019,MSY,340
01/01/2019,MTN,77
01/01/2019,MVY,29
01/01/2019,MWA,10
01/01/2019,MWC,2
01/01/2019,MWH,18
01/01/2019,MYF,381
01/01/2019,MYR,184
01/01/2019,NEW,117
01/01/2019,NQA,37
01/01/2019,OAJ,26
01/01/2019,OAK,460
01/01/2019,OCF,122
01/01/2019,OGD,187
01/01/2019,OGG,439
01/01/2019,OJC,10
01/01/2019,OKC,152
01/01/2019,OLM,127
01/01/2019,OLV,110
01/01/2019,OMA,145
01/01/2019,OMN,54
01/01/2019,ONT,155
01/01/2019,OPF,275
01/01/2019,ORD,2245
01/01/2019,ORF,153
01/01/2019,ORH,11
01/01/2019,ORL,164
01/01/2019,OSH,30
01/01/2019,OSU,44
01/01/2019,OTH,32
01/01/2019,OUN,10
01/01/2019,OWB,34
01/01/2019,OWD,8
01/01/2019,OXC,10
01/01/2019,OXR,28
01/01/2019,PAE,408
01/01/2019,PAH,36
01/01/2019,PAO,192
01/01/2019,PBI,508
01/01/2019,PDK,219
01/01/2019,PDT,43
01/01/2019,PDX,533
01/01/2019,PGD,75
01/01/2019,PHF,38
01/01/2019,PHL,841
01/01/2019,PHX,1166
01/01/2019,PIA,29
01/01/2019,PIE,252
01/01/2019,PIH,25
01/01/2019,PIT,304
01/01/2019,PKB,18
01/01/2019,PMD,4
01/01/2019,PMP,153
01/01/2019,PNE,40
01/01/2019,PNS,90
01/01/2019,POC,42
01/01/2019,POU,8
01/01/2019,PRC,45
01/01/2019,PSC,121
01/01/2019,PSP,196
01/01/2019,PTK,36
01/01/2019,PUB,21
01/01/2019,PVD,99
01/01/2019,PVU,113
01/01/2019,PWA,35
01/01/2019,PWK,33
01/01/2019,PWM,92
01/01/2019,RAL,14
01/01/2019,RAP,43
01/01/2019,RBD,82
01/01/2019,RDD,42
01/01/2019,RDG,19
01/01/2019,RDM,200
01/01/2019,RDU,392
01/01/2019,RFD,4
01/01/2019,RHV,313
01/01/2019,RIC,162
01/01/2019,RME,5
01/01/2019,RNM,30
01/01/2019,RNO,185
01/01/2019,RNT,234
01/01/2019,ROA,50
01/01/2019,ROC,90
01/01/2019,ROG,6
01/01/2019,ROW,11
01/01/2019,RST,38
01/01/2019,RSW,311
01/01/2019,RVS,111
01/01/2019,RYN,227
01/01/2019,RYY,62
01/01/2019,SAC,174
01/01/2019,SAF,24
01/01/2019,SAN,581
01/01/2019,SAT,320
01/01/2019,SAV,200
01/01/2019,SAW,41
01/01/2019,SBA,158
01/01/2019,SBN,102
01/01/2019,SBP,181
01/01/2019,SBY,26
01/01/2019,SCK,114
01/01/2019,SDF,241
01/01/2019,SDL,230
01/01/2019,SDM,71
01/01/2019,SEA,1100
01/01/2019,SEE,310
01/01/2019,SFB,857
01/01/2019,SFF,90
01/01/2019,SFO,1228
01/01/2019,SGF,77
01/01/2019,SGJ,221
01/01/2019,SGR,110
01/01/2019,SHV,41
01/01/2019,SIG,109
01/01/2019,SJC,504
01/01/2019,SJT,16
01/01/2019,SJU,373
01/01/2019,SLC,797
01/01/2019,SLE,106
01/01/2019,SLN,9
01/01/2019,SMF,325
01/01/2019,SMO,60
01/01/2019,SMX,67
01/01/2019,SNA,432
01/01/2019,SNS,251
01/01/2019,SPG,302
01/01/2019,SPI,6
01/01/2019,SQL,138
01/01/2019,SRQ,234
01/01/2019,SSF,193
01/01/2019,STC,28
01/01/2019,STJ,0
01/01/2019,STL,443
01/01/2019,STP,60
01/01/2019,STS,140
01/01/2019,STT,168
01/01/2019,STX,72
01/01/2019,SUN,106
01/01/2019,SUS,49
01/01/2019,SUX,15
01/01/2019,SWF,26
01/01/2019,SWO,9
01/01/2019,SYR,96
01/01/2019,TCL,31
01/01/2019,TEB,331
01/01/2019,TIW,121
01/01/2019,TIX,104
01/01/2019,TKI,106
01/01/2019,TLH,87
01/01/2019,TMB,251
01/01/2019,TOA,100
01/01/2019,TOL,25
01/01/2019,TOP,7
01/01/2019,TPA,590
01/01/2019,TRI,53
01/01/2019,TTD,173
01/01/2019,TTN,66
01/01/2019,TUL,113
01/01/2019,TUP,52
01/01/2019,TUS,208
01/01/2019,TVC,45
01/01/2019,TWF,87
01/01/2019,TXK,37
01/01/2019,TYR,36
01/01/2019,TYS,148
01/01/2019,TZR,25
01/01/2019,UAO,170
01/01/2019,UES,34
01/01/2019,UGN,13
01/01/2019,UNV,27
01/01/2019,VCT,15
01/01/2019,VCV,5
01/01/2019,VGT,224
01/01/2019,VNY,271
01/01/2019,VQQ,50
01/01/2019,VRB,176
01/01/2019,WDG,4
01/01/2019,WHP,19
01/01/2019,WJF,45
01/01/2019,XNA,59
01/01/2019,YIP,8
01/01/2019,YKM,96
01/01/2019,YNG,5
01/02/2019,ABE,158
01/02/2019,ABI,18
01/02/2019,ABQ,432
01/02/2019,ABY,33
01/02/2019,ACK,117
01/02/2019,ACT,14
01/02/2019,ACY,152
01/02/2019,ADM,4
01/02/2019,ADQ,63
01/02/2019,ADS,61
01/02/2019,ADW,170
01/02/2019,AEG,32
01/02/2019,AEX,24
01/02/2019,AFW,12
01/02/2019,AGC,49
01/02/2019,AGS,79
01/02/2019,AHN,49
01/02/2019,AKN,33
01/02/2019,ALB,243
01/02/2019,ALN,37
01/02/2019,ALO,37
01/02/2019,ALW,34
01/02/2019,AMA,120
01/02/2019,ANC,433
01/02/2019,ANE,119
01/02/2019,APA,746
01/02/2019,APC,143
01/02/2019,APF,483
01/02/2019,ARA,4
01/02/2019,ARB,5
01/02/2019,ARR,10
01/02/2019,ASE,319
01/02/2019,ASG,12
01/02/2019,ASH,206
01/02/2019,ATL,2458
01/02/2019,ATW,59
01/02/2019,AUS,480
01/02/2019,AVL,189
01/02/2019,AVP,129
01/02/2019,AZO,29
01/02/2019,BAF,124
01/02/2019,BAK,4
01/02/2019,BAZ,6
01/02/2019,BBG,2
01/02/2019,BCT,236
01/02/2019,BDL,261
01/02/2019,BDR,185
01/02/2019,BED,370
01/02/2019,BET,217
01/02/2019,BFI,393
01/02/2019,BFL,110
01/02/2019,BFM,34
01/02/2019,BGM,87
01/02/2019,BGR,84
01/02/2019,BHM,214
01/02/2019,BIL,159
01/02/2019,BIS,83
01/02/2019,BJC,581
01/02/2019,BKL,26
01/02/2019,BKV,283
01/02/2019,BLI,153
01/02/2019,BMG,48
01/02/2019,BMI,21
01/02/2019,BNA,577
01/02/2019,BOI,353
01/02/2019,BOS,1076
01/02/2019,BPT,24
01/02/2019,BQN,85
01/02/2019,BRO,52
01/02/2019,BTL,13
01/02/2019,BTR,105
01/02/2019,BTV,205
01/02/2019,BUF,195
01/02/2019,BUR,350
01/02/2019,BVY,230
01/02/2019,BWI,768
01/02/2019,BZN,291
01/02/2019,CAE,145
01/02/2019,CAK,103
01/02/2019,CCR,285
01/02/2019,CDW,224
01/02/2019,CGF,34
01/02/2019,CHA,129
01/02/2019,CHD,765
01/02/2019,CHO,249
01/02/2019,CHS,265
01/02/2019,CIC,94
01/02/2019,CID,108
01/02/2019,CKB,13
01/02/2019,CLE,318
01/02/2019,CLL,21
01/02/2019,CLT,1652
01/02/2019,CMA,264
01/02/2019,CMH,324
01/02/2019,CMI,25
01/02/2019,CNO,360
01/02/2019,CNW,1
01/02/2019,COS,290
01/02/2019,COU,34
01/02/2019,CPR,61
01/02/2019,CPS,143
01/02/2019,CRE,0
01/02/2019,CRG,547
01/02/2019,CRP,149
01/02/2019,CRQ,576
01/02/2019,CRW,59
01/02/2019,CSG,21
01/02/2019,CVG,405
01/02/2019,CWA,34
01/02/2019,CWF,6
01/02/2019,CXO,16
01/02/2019,CXY,51
01/02/2019,CYS,69
01/02/2019,DAB,537
01/02/2019,DAL,634
01/02/2019,DAY,112
01/02/2019,DBQ,14
01/02/2019,DCA,700
01/02/2019,DEN,1725
01/02/2019,DET,12
01/02/2019,DFW,2008
01/02/2019,DHN,69
01/02/2019,DLH,142
01/02/2019,DPA,131
01/02/2019,DSM,180
01/02/2019,DTN,3
01/02/2019,DTO,9
01/02/2019,DTS,28
01/02/2019,DTW,1033
01/02/2019,DVT,1383
01/02/2019,DWH,27
01/02/2019,DXR,113
01/02/2019,EAU,49
01/02/2019,ECP,119
01/02/2019,EGE,253
01/02/2019,ELM,37
01/02/2019,ELP,208
01/02/2019,EMT,263
01/02/2019,ENA,73
01/02/2019,ENW,116
01/02/2019,ERI,27
01/02/2019,ESN,164
01/02/2019,EUG,210
01/02/2019,EVB,462
01/02/2019,EVV,54
01/02/2019,EWB,218
01/02/2019,EWN,99
01/02/2019,EWR,1280
01/02/2019,EYW,194
01/02/2019,FAI,116
01/02/2019,FAR,203
01/02/2019,FAT,232
01/02/2019,FAY,75
01/02/2019,FCM,151
01/02/2019,FDK,251
01/02/2019,FFZ,667
01/02/2019,FIN,478
01/02/2019,FLG,84
01/02/2019,FLL,1155
01/02/2019,FLO,22
01/02/2019,FMN,45
01/02/2019,FMY,395
01/02/2019,FNT,33
01/02/2019,FOE,88
01/02/2019,FOK,135
01/02/2019,FPR,396
01/02/2019,FRG,692
01/02/2019,FSD,201
01/02/2019,FSM,17
01/02/2019,FTG,180
01/02/2019,FTW,61
01/02/2019,FTY,59
01/02/2019,FUL,141
01/02/2019,FWA,81
01/02/2019,FWS,5
01/02/2019,FXE,488
01/02/2019,FYV,3
01/02/2019,GCK,61
01/02/2019,GCN,218
01/02/2019,GEG,191
01/02/2019,GEU,276
01/02/2019,GFK,21
01/02/2019,GGG,18
01/02/2019,GJT,120
01/02/2019,GKY,4
01/02/2019,GLH,13
01/02/2019,GLS,11
01/02/2019,GMU,162
01/02/2019,GNV,156
01/02/2019,GON,192
01/02/2019,GPI,94
01/02/2019,GPM,0
01/02/2019,GPT,31
01/02/2019,GRB,72
01/02/2019,GRI,36
01/02/2019,GRR,142
01/02/2019,GSN,351
01/02/2019,GSO,191
01/02/2019,GSP,142
01/02/2019,GTF,100
01/02/2019,GTR,100
01/02/2019,GTU,0
01/02/2019,GUM,271
01/02/2019,GYH,160
01/02/2019,GYI,3
01/02/2019,GYR,220
01/02/2019,GYY,28
01/02/2019,HEF,207
01/02/2019,HFD,261
01/02/2019,HGR,130
01/02/2019,HHR,188
01/02/2019,HIO,427
01/02/2019,HKS,15
01/02/2019,HKY,75
01/02/2019,HLG,5
01/02/2019,HLN,200
01/02/2019,HND,204
01/02/2019,HNL,1036
01/02/2019,HOB,10
01/02/2019,HOU,579
01/02/2019,HPN,362
01/02/2019,HQZ,0
01/02/2019,HRL,82
01/02/2019,HSA,24
01/02/2019,HSV,91
01/02/2019,HTS,23
01/02/2019,HUF,5
01/02/2019,HUM,33
01/02/2019,HUT,138
01/02/2019,HVN,48
01/02/2019,HWD,343
01/02/2019,HWO,894
01/02/2019,HXD,89
01/02/2019,HYA,198
01/02/2019,HYI,7
01/02/2019,IAD,813
01/02/2019,IAG,38
01/02/2019,IAH,1369
01/02/2019,ICT,296
01/02/2019,IDA,77
01/02/2019,IFP,20
01/02/2019,ILG,115
01/02/2019,ILM,183
01/02/2019,IND,473
01/02/2019,INT,74
01/02/2019,IPT,47
01/02/2019,ISM,448
01/02/2019,ISO,10
01/02/2019,ISP,460
01/02/2019,ITH,48
01/02/2019,ITO,206
01/02/2019,IWA,855
01/02/2019,IXD,141
01/02/2019,JAC,119
01/02/2019,JAN,71
01/02/2019,JAX,306
01/02/2019,JEF,74
01/02/2019,JFK,1260
01/02/2019,JLN,14
01/02/2019,JNU,108
01/02/2019,JQF,296
01/02/2019,JRF,303
01/02/2019,JVL,61
01/02/2019,JXN,6
01/02/2019,LAF,18
01/02/2019,LAL,273
01/02/2019,LAN,54
01/02/2019,LAS,1596
01/02/2019,LAW,5
01/02/2019,LAX,2091
01/02/2019,LBB,125
01/02/2019,LBE,22
01/02/2019,LCH,27
01/02/2019,LEB,107
01/02/2019,LEE,301
01/02/2019,LEX,113
01/02/2019,LFT,49
01/02/2019,LGA,829
01/02/2019,LGB,605
01/02/2019,LIH,452
01/02/2019,LIT,165
01/02/2019,LMT,135
01/02/2019,LNK,148
01/02/2019,LNS,224
01/02/2019,LOU,139
01/02/2019,LRD,59
01/02/2019,LSE,35
01/02/2019,LUK,116
01/02/2019,LVK,449
01/02/2019,LWB,15
01/02/2019,LWM,78
01/02/2019,LWS,25
01/02/2019,LYH,70
01/02/2019,LZU,276
01/02/2019,MAF,98
01/02/2019,MBS,38
01/02/2019,MCI,332
01/02/2019,MCN,17
01/02/2019,MCO,1156
01/02/2019,MDH,63
01/02/2019,MDT,138
01/02/2019,MDW,615
01/02/2019,MEI,53
01/02/2019,MEM,730
01/02/2019,MER,213
01/02/2019,MFD,6
01/02/2019,MFE,89
01/02/2019,MFR,91
01/02/2019,MGM,43
01/02/2019,MGW,150
01/02/2019,MHK,57
01/02/2019,MHR,413
01/02/2019,MHT,159
01/02/2019,MIA,1316
01/02/2019,MIC,111
01/02/2019,MIE,7
01/02/2019,MKC,187
01/02/2019,MKE,271
01/02/2019,MKG,12
01/02/2019,MKK,122
01/02/2019,MKL,8
01/02/2019,MLB,247
01/02/2019,MLI,64
01/02/2019,MLU,32
01/02/2019,MMU,317
01/02/2019,MOB,49
01/02/2019,MOD,95
01/02/2019,MOT,50
01/02/2019,MQY,58
01/02/2019,MRI,61
01/02/2019,MRY,190
01/02/2019,MSN,137
01/02/2019,MSO,95
01/02/2019,MSP,1106
01/02/2019,MSY,453
01/02/2019,MTN,320
01/02/2019,MVY,38
01/02/2019,MWA,39
01/02/2019,MWH,137
01/02/2019,MYF,487
01/02/2019,MYR,80
01/02/2019,NEW,127
01/02/2019,NQA,10
01/02/2019,OAJ,23
01/02/2019,OAK,700
01/02/2019,OCF,323
01/02/2019,OGD,337
01/02/2019,OGG,585
01/02/2019,OJC,131
01/02/2019,OKC,201
01/02/2019,OLM,125
01/02/2019,OLV,15
01/02/2019,OMA,283
01/02/2019,OMN,0
01/02/2019,ONT,260
01/02/2019,OPF,579
01/02/2019,ORD,2486
01/02/2019,ORF,196
01/02/2019,ORH,65
01/02/2019,ORL,261
01/02/2019,OSH,21
01/02/2019,OSU,94
01/02/2019,OTH,50
01/02/2019,OUN,10
01/02/2019,OWB,29
01/02/2019,OWD,163
01/02/2019,OXC,86
01/02/2019,OXR,94
01/02/2019,PAE,210
01/02/2019,PAH,30
01/02/2019,PAO,368
01/02/2019,PBI,643
01/02/2019,PDK,307
01/02/2019,PDT,31
01/02/2019,PDX,633
01/02/2019,PGD,284
01/02/2019,PHF,121
01/02/2019,PHL,1082
01/02/2019,PHX,1351
01/02/2019,PIA,150
01/02/2019,PIE,454
01/02/2019,PIH,49
01/02/2019,PIT,390
01/02/2019,PKB,34
01/02/2019,PMD,38
01/02/2019,PMP,321
01/02/2019,PNE,181
01/02/2019,PNS,98
01/02/2019,POC,213
01/02/2019,POU,158
01/02/2019,PRC,178
01/02/2019,PSC,136
01/02/2019,PSP,210
01/02/2019,PTK,91
01/02/2019,PUB,180
01/02/2019,PVD,168
01/02/2019,PVU,185
01/02/2019,PWA,52
01/02/2019,PWK,74
01/02/2019,PWM,132
01/02/2019,RAL,79
01/02/2019,RAP,77
01/02/2019,RBD,4
01/02/2019,RDD,199
01/02/2019,RDG,157
01/02/2019,RDM,276
01/02/2019,RDU,558
01/02/2019,RFD,40
01/02/2019,RHV,466
01/02/2019,RIC,307
01/02/2019,RME,52
01/02/2019,RNM,182
01/02/2019,RNO,291
01/02/2019,RNT,383
01/02/2019,ROA,144
01/02/2019,ROC,251
01/02/2019,ROG,7
01/02/2019,ROW,35
01/02/2019,RST,67
01/02/2019,RSW,370
01/02/2019,RVS,447
01/02/2019,RYN,183
01/02/2019,RYY,132
01/02/2019,SAC,409
01/02/2019,SAF,89
01/02/2019,SAN,674
01/02/2019,SAT,383
01/02/2019,SAV,207
01/02/2019,SAW,39
01/02/2019,SBA,236
01/02/2019,SBN,55
01/02/2019,SBP,356
01/02/2019,SBY,152
01/02/2019,SCK,214
01/02/2019,SDF,495
01/02/2019,SDL,487
01/02/2019,SDM,243
01/02/2019,SEA,1233
01/02/2019,SEE,478
01/02/2019,SFB,1153
01/02/2019,SFF,220
01/02/2019,SFO,1314
01/02/2019,SGF,79
01/02/2019,SGJ,420
01/02/2019,SGR,54
01/02/2019,SHV,75
01/02/2019,SIG,155
01/02/2019,SJC,511
01/02/2019,SJT,17
01/02/2019,SJU,594
01/02/2019,SLC,991
01/02/2019,SLE,103
01/02/2019,SMF,401
01/02/2019,SMO,213
01/02/2019,SMX,61
01/02/2019,SNA,898
01/02/2019,SNS,212
01/02/2019,SPG,336
01/02/2019,SPI,31
01/02/2019,SQL,266
01/02/2019,SRQ,490
01/02/2019,SSF,24
01/02/2019,STC,37
01/02/2019,STJ,33
01/02/2019,STL,524
01/02/2019,STP,87
01/02/2019,STS,244
01/02/2019,STT,178
01/02/2019,SUA,604
01/02/2019,SUN,155
01/02/2019,SUS,123
01/02/2019,SUX,53
01/02/2019,SWF,122
01/02/2019,SWO,51
01/02/2019,SYR,161
01/02/2019,TCL,30
01/02/2019,TEB,363
01/02/2019,TIW,321
01/02/2019,TIX,198
01/02/2019,TKI,21
01/02/2019,TLH,183
01/02/2019,TMB,599
01/02/2019,TOA,314
01/02/2019,TOL,35
01/02/2019,TOP,43
01/02/2019,TPA,663
01/02/2019,TRI,34
01/02/2019,TTD,228
01/02/2019,TTN,435
01/02/2019,TUL,187
01/02/2019,TUP,41
01/02/2019,TUS,374
01/02/2019,TVC,59
01/02/2019,TWF,123
01/02/2019,TXK,8
01/02/2019,TYR,44
01/02/2019,TYS,264
01/02/2019,TZR,15
01/02/2019,UAO,135
01/02/2019,UES,9
01/02/2019,UGN,14
01/02/2019,UNV,36
01/02/2019,VCT,19
01/02/2019,VCV,5
01/02/2019,VGT,538
01/02/2019,VNY,672
01/02/2019,VQQ,370
01/02/2019,VRB,946
01/02/2019,WDG,104
01/02/2019,WHP,182
01/02/2019,WJF,70
01/02/2019,XNA,76
01/02/2019,YIP,28
01/02/2019,YKM,80
01/02/2019,YNG,50
01/03/2019,ABE,213
01/03/2019,ABI,95
01/03/2019,ABQ,474
01/03/2019,ABY,13
01/03/2019,ACK,103
01/03/2019,ACT,32
01/03/2019,ACY,163
01/03/2019,ADM,1
01/03/2019,ADQ,72
01/03/2019,ADS,86
01/03/2019,ADW,179
01/03/2019,AEG,77
01/03/2019,AEX,39
01/03/2019,AFW,74
01/03/2019,AGC,171
01/03/2019,AGS,64
01/03/2019,AHN,26
01/03/2019,AKN,29
01/03/2019,ALB,150
01/03/2019,ALN,155
01/03/2019,ALO,91
01/03/2019,ALW,15
01/03/2019,AMA,97
01/03/2019,ANC,545
01/03/2019,ANE,194
01/03/2019,APA,941
01/03/2019,APC,180
01/03/2019,APF,410
01/03/2019,ARA,60
01/03/2019,ARB,179
01/03/2019,ARR,242
01/03/2019,ASE,241
01/03/2019,ASG,16
01/03/2019,ASH,86
01/03/2019,ATL,2351
01/03/2019,ATW,102
01/03/2019,AUS,550
01/03/2019,AVL,124
01/03/2019,AVP,98
01/03/2019,AZO,154
